country,year,labour_participation_rate,birth_rate,fertility_rate,mean_age_bearing,housing_value,total_deaths,death_rate,life_expectancy,total_pop,male_pop,female_pop,pop_density,median_age,pop_growth_rate,gender_wage_gap_perc,average_wage_rate,internet_access_perc,education_rate,crude_marriage_rate,crude_divorce_rate,suicide_rate,time
Australia,2006,70.80132176,270,1.88,30.3,60.5795,134,6.6,81.3,20467,10166,10301,2.7,35.7,1.6,16.66666667,49688.97079,64.0,33.022213,5.5,2.5,10.6,1
Australia,2007,70.76035608,288,1.99,30.3,66.96025,139,6.7,81.3,20831,10354,10477,2.7,35.8,1.92,15.4,51049.14324,67.0,33.73671,5.5,2.3,10.7,2
Australia,2008,70.74747327,298,2.02,30.3,69.60275,142,6.7,81.5,21248,10570,10678,2.8,35.8,2.04,11.93737769,51375.73993,72.0,36.149986,5.5,2.2,11.1,3
Australia,2010,68.42488709,300,1.95,30.5,80.877,143,6.5,82.1,22019,10961,11058,2.9,36.1,1.47,14.04293381,52645.06325,78.92,37.604309,5.4,2.3,11.0,5
Australia,2012,67.51922859,306,1.93,30.6,78.88025,149,6.6,82.3,22729,11311,11418,3.0,36.2,1.73,13.75,54693.53279,83.0,41.282364,5.4,2.2,11.5,7
Australia,2014,66.56252256,300,1.81,30.7,91.72025,154,6.6,82.6,23470,11666,11804,3.1,36.3,1.47,15.77335375,54958.99834,85.89,41.901855,5.2,2.0,12.6,9
Australia,2016,66.78562912,309,1.8,30.9,105.5,158,6.6,82.9,24196,12008,12188,3.2,36.2,1.63,13.72843211,54708.54639,86.11,43.7439,4.9,1.9,12.2,11
Australia,2006,57.27057514,270,1.88,30.3,60.5795,134,6.6,81.3,20467,10166,10301,2.7,35.7,1.6,16.66666667,49688.97079,64.0,33.022213,5.5,2.5,10.6,1
Australia,2007,58.09882031,288,1.99,30.3,66.96025,139,6.7,81.3,20831,10354,10477,2.7,35.8,1.92,15.4,51049.14324,67.0,33.73671,5.5,2.3,10.7,2
Australia,2008,58.8533591,298,2.02,30.3,69.60275,142,6.7,81.5,21248,10570,10678,2.8,35.8,2.04,11.93737769,51375.73993,72.0,36.149986,5.5,2.2,11.1,3
Australia,2010,62.64436307,300,1.95,30.5,80.877,143,6.5,82.1,22019,10961,11058,2.9,36.1,1.47,14.04293381,52645.06325,78.92,37.604309,5.4,2.3,11.0,5
Australia,2012,63.62826017,306,1.93,30.6,78.88025,149,6.6,82.3,22729,11311,11418,3.0,36.2,1.73,13.75,54693.53279,83.0,41.282364,5.4,2.2,11.5,7
Australia,2014,64.03970519,300,1.81,30.7,91.72025,154,6.6,82.6,23470,11666,11804,3.1,36.3,1.47,15.77335375,54958.99834,85.89,41.901855,5.2,2.0,12.6,9
Australia,2016,65.24063692,309,1.8,30.9,105.5,158,6.6,82.9,24196,12008,12188,3.2,36.2,1.63,13.72843211,54708.54639,86.11,43.7439,4.9,1.9,12.2,11
Austria,2005,58.00229939,78,1.41,29.0,61.35194818,75,9.2,79.5,8227,3999,4228,99.7,38.9,0.64,22.03208575,52999.3783,46.6887,24.639351,4.8,2.4,16.8,0
Austria,2006,57.92826407,78,1.41,29.2,63.87105419,74,9.0,80.0,8268,4022,4246,100.2,39.3,0.35,21.85513043,53791.2556,52.2965,25.356432,4.5,2.5,15.2,1
Austria,2007,59.42075366,76,1.39,29.3,66.85883109,74,9.0,80.2,8295,4036,4259,100.5,39.7,0.31,21.63427637,54099.69362,59.623,25.092672,4.3,2.5,15.1,2
Austria,2008,59.51613857,77,1.41,29.5,67.57648339,75,9.0,80.4,8321,4049,4272,100.8,40.1,0.33,20.91732027,55008.95644,68.92,26.191858,4.2,2.4,14.6,3
Austria,2009,59.50143313,76,1.4,29.6,70.21275712,77,9.3,80.2,8343,4061,4282,101.1,40.4,0.19,19.35596592,55945.10021,69.7507,26.895824,4.3,2.3,14.6,4
Austria,2010,58.27609377,78,1.44,29.8,76.7975,77,9.2,80.5,8363,4072,4290,101.3,40.8,0.28,19.18886268,55693.25377,72.8891,27.743721,4.5,2.1,14.4,5
